"hit_index","original_stage","phrase_priority_tier","reader_plaintext","gordon_plaintext","ciphertext","reader_reflector","reader_start_left_to_right","reader_rings_left_to_right","reader_active_pairs","gordon_tier","gordon_literal_state_index","gordon_reflector","gordon_rotors_left_to_right","gordon_start_left_to_right","gordon_rings_left_to_right","gordon_plugboard_pair_count","gordon_plugboard_pairs","verification_ciphertext"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4814878504","C","I IV III","FIU","PGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4826760556","C","I IV III","GIU","QGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4838642608","C","I IV III","HIU","RGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4850524660","C","I IV III","IIU","SGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4862406712","C","I IV III","JIU","TGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4874288764","C","I IV III","KIU","UGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4886170816","C","I IV III","LIU","VGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4898052868","C","I IV III","MIU","WGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4909934920","C","I IV III","NIU","XGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4921816972","C","I IV III","OIU","YGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
